epoch,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_macro,train_recall_macro,train_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_macro,val_recall_macro,val_loss
0,0.2619047619047619,0.08301886792452831,0.10871518418688231,0.05238095238095238,0.2,1.6046519563311623,0.0,0.0,0.0,0.0,0.0,1.6535695791244507
1,0.2857142857142857,0.13627450980392158,0.1546451914098973,0.255,0.22857142857142856,1.5620750075294858,0.0,0.0,0.0,0.0,0.0,1.6493923664093018
2,0.35714285714285715,0.25424036281179135,0.2599179354281395,0.4578947368421053,0.3107142857142857,1.5191608724139987,0.0,0.0,0.0,0.0,0.0,1.671866774559021
3,0.40476190476190477,0.3299956082564778,0.32583599974904326,0.5628571428571428,0.3678571428571428,1.4701475302378337,0.0,0.0,0.0,0.0,0.0,1.7206547260284424
4,0.5238095238095238,0.4355855855855856,0.4354890604890605,0.5937062937062937,0.5,1.3944647227014815,0.0,0.0,0.0,0.0,0.0,1.7964651584625244
5,0.5,0.4267379679144385,0.42462439521263057,0.5125975473801561,0.48538961038961037,1.309496107555571,0.0,0.0,0.0,0.0,0.0,1.9409961700439453
6,0.5,0.4299125710890417,0.4272698978581331,0.5726708074534161,0.48538961038961037,1.2174500340507144,0.0,0.0,0.0,0.0,0.0,2.123756170272827
